,id,team_nickname,primary_position,full_name,pitcher_hand,pitcher_previous_stats_szn,rolling_1pitch,rolling_3pitch,rolling_10pitch,pitcher_previous_stats_szn_bases,rolling_1pitch_bases,rolling_3pitch_bases,rolling_10pitch_bases,pitcher_strikes_spread,pitcher_balls_spread,pitcher_speed,pitcher_fast_spread,pitcher_offspeed_spread,pitcher_ab_count
0,71791d18-9c59-4e2f-863d-007d3cdd7efd,Mariners,SP,Luis Castillo,R,0.2642405063291139,1.0,0.6666666666666666,0.3,0.4287974683544304,1.0,0.6666666666666666,0.4,0.6613924050632911,0.3386075949367088,92.78101265822784,0.5822784810126582,0.4177215189873418,632.0
1,d3a08e67-05e9-4f54-b7b1-807c8e9beaf2,Mariners,SP,Logan Gilbert,R,0.2701342281879195,0.0,0.3333333333333333,0.4,0.424496644295302,0.0,0.6666666666666666,0.6,0.6946308724832215,0.3053691275167785,90.06711409395973,0.6929530201342282,0.3070469798657718,596.0
2,47a41eee-f06a-4590-af22-453fdd7bd39d,Mariners,SP,George Kirby,R,0.2663316582914573,1.0,1.0,0.5,0.4070351758793969,2.0,1.3333333333333333,0.7,0.7219430485762144,0.2780569514237856,92.15192629815743,0.5393634840871022,0.4606365159128978,597.0
3,3e72c29b-c305-4e6b-8311-0bec2e447b72,Mariners,SP,Bryce Miller,R,0.2615384615384615,0.0,0.0,0.2,0.4205128205128205,0.0,0.0,0.3,0.7153846153846154,0.2846153846153846,91.86102564102563,0.7974358974358975,0.2025641025641025,390.0
4,5f42fd84-97c3-4c95-bf35-ad67f4b08443,Mariners,SP,Bryan Woo,R,0.2995951417004048,0.0,0.0,0.1,0.4534412955465587,0.0,0.0,0.1,0.7206477732793523,0.2793522267206478,93.17368421052632,0.6761133603238867,0.3238866396761133,247.0
5,60b7e25e-7765-4d8b-82a6-d33e7179dae5,Mariners,SP,Luke Weaver,R,0.3616071428571428,0.0,0.6666666666666666,0.3,0.6049107142857143,0.0,0.6666666666666666,0.4,0.6941964285714286,0.3058035714285714,89.49352678571428,0.6383928571428571,0.3616071428571428,448.0
6,2c49a12d-9242-43e0-b6b7-d2588b46ff77,Mariners,RP,Justin Topa,R,0.2731707317073171,0.0,0.0,0.2,0.3317073170731707,0.0,0.0,0.2,0.775609756097561,0.224390243902439,91.03121951219512,0.3951219512195122,0.6048780487804878,205.0
7,7f15e43d-14bb-4564-b7f5-24ded570ef64,Mariners,RP,Matthew Brash,R,0.3277310924369748,0.0,0.0,0.1,0.3865546218487395,0.0,0.0,0.1,0.6092436974789915,0.3907563025210084,92.48235294117649,0.907563025210084,0.0924369747899159,238.0
8,da007384-6e98-476a-9972-a47cd0e0aae2,Mariners,RP,Gabriel Speier,L,0.2621951219512195,1.0,0.3333333333333333,0.2,0.3658536585365853,4.0,1.3333333333333333,0.5,0.5975609756097561,0.4024390243902439,91.41036585365852,0.5,0.5,164.0
9,eb18a549-a572-4f11-8780-9d872e7da67c,Mariners,RP,Tayler Saucedo,L,0.3333333333333333,0.0,0.6666666666666666,0.6,0.3757575757575757,0.0,1.0,0.7,0.5393939393939394,0.4606060606060606,87.40969696969697,0.2666666666666666,0.7333333333333333,165.0
10,f4cbd525-3cca-47dc-847a-5e4c68ccdada,Mariners,RP,Isaiah Campbell,R,0.3333333333333333,1.0,0.3333333333333333,0.5,0.4545454545454545,1.0,0.3333333333333333,0.8,0.6363636363636364,0.3636363636363636,88.96666666666667,0.8333333333333334,0.1666666666666666,66.0
11,c7513e8c-c4a0-4ece-8815-cd2889c61226,Mariners,RP,Trent Thornton,R,0.296875,1.0,0.6666666666666666,0.4,0.453125,1.0,1.0,0.6,0.71875,0.28125,87.3953125,0.453125,0.546875,64.0
12,2527770b-cf48-42b9-81fa-9323756fb311,Rangers,SP,Maxwell Scherzer,R,0.2891791044776119,1.0,0.3333333333333333,0.6,0.4552238805970149,2.0,0.6666666666666666,0.7,0.6809701492537313,0.3190298507462686,87.3695895522388,0.707089552238806,0.292910447761194,536.0
13,e96d88f5-3593-48fb-b1fd-840b41c08cc5,Rangers,SP,Jordan Montgomery,L,0.2967213114754098,0.0,0.3333333333333333,0.2,0.4360655737704918,0.0,0.3333333333333333,0.2,0.6819672131147541,0.3180327868852459,88.50590163934426,0.0934426229508196,0.9065573770491804,610.0
14,106c933c-0203-4e5a-bd06-f8bc420b9b9f,Rangers,SP,Jonathan Gray,R,0.3128491620111732,1.0,0.6666666666666666,0.4,0.4208566108007449,1.0,0.6666666666666666,0.4,0.6256983240223464,0.3743016759776536,90.65903165735568,0.851024208566108,0.148975791433892,537.0
15,ade46bf9-fcaa-4185-8fc9-79af6d2ec81b,Rangers,SP,Andrew Heaney,L,0.3274161735700197,0.0,0.3333333333333333,0.5,0.4950690335305719,0.0,0.3333333333333333,0.8,0.6272189349112426,0.3727810650887574,87.86646942800789,0.7692307692307693,0.2307692307692307,507.0
16,f4c93b6c-749c-409a-bcd5-58fb2ef53246,Rangers,SP,Dane Dunning,R,0.2968460111317254,0.0,0.0,0.3,0.411873840445269,0.0,0.0,0.3,0.6660482374768089,0.3339517625231911,87.56549165120595,0.4044526901669759,0.5955473098330241,539.0
17,17a14a6a-42f8-4f2e-86f3-42051584563e,Rangers,RP,Albertin Chapman,L,0.2617801047120419,0.0,0.0,0.2,0.3193717277486911,0.0,0.0,0.5,0.6701570680628273,0.3298429319371728,96.15287958115184,0.6178010471204188,0.3821989528795811,191.0
18,36033e23-516d-48fb-90d3-4309e329fca5,Rangers,RP,José Leclerc,R,0.2594936708860759,0.0,0.0,0.1,0.360759493670886,0.0,0.0,0.1,0.5759493670886076,0.4240506329113924,89.51455696202531,0.8417721518987342,0.1582278481012658,158.0
19,cdd52cf2-b10d-456a-9a92-1d74e1f05bac,Rangers,RP,Christopher Stratton,R,0.2676579925650557,0.0,0.0,0.1,0.3903345724907063,0.0,0.0,0.1,0.6802973977695167,0.3197026022304832,88.78661710037174,0.7286245353159851,0.2713754646840148,269.0
20,5cc6bf5e-80b0-42ef-8735-1f1df4af3a12,Rangers,RP,Joshua Sborz,R,0.2622950819672131,0.0,0.6666666666666666,0.4,0.3934426229508196,0.0,1.6666666666666667,1.0,0.6065573770491803,0.3934426229508196,90.93224043715846,0.7650273224043715,0.2349726775956284,183.0
21,eb458d81-ba52-443b-8a22-e9c35d089012,Rangers,RP,Brock Burke,L,0.2696078431372549,0.0,0.3333333333333333,0.3,0.4215686274509804,0.0,0.6666666666666666,0.5,0.7745098039215687,0.2254901960784313,92.03578431372549,0.803921568627451,0.196078431372549,204.0
22,a6651b0c-51b9-4586-a4e6-edb74b826daa,Rangers,RP,Grant Anderson,R,0.3287671232876712,0.0,0.3333333333333333,0.4,0.4520547945205479,0.0,0.3333333333333333,0.4,0.7123287671232876,0.2876712328767123,89.17945205479452,0.678082191780822,0.3219178082191781,146.0
23,9012e198-9f53-4885-8b24-402e51524e82,Rangers,SP,Martín Pérez,L,0.3484251968503937,1.0,1.0,0.4,0.5019685039370079,1.0,1.0,0.4,0.6594488188976378,0.3405511811023622,88.75669291338583,0.2578740157480315,0.7421259842519685,508.0
24,1a1311e0-465c-45de-9f94-78e52fc067c3,Angels,SP,Lucas Giolito,R,0.3083067092651757,0.0,0.3333333333333333,0.4,0.5,0.0,0.3333333333333333,0.6,0.6789137380191693,0.3210862619808307,87.20447284345047,0.7284345047923323,0.2715654952076677,626.0
25,80de60c9-74e3-4a50-b128-b3dc7456a254,Angels,DH,Shohei Ohtani,R,0.2846299810246679,0.0,0.3333333333333333,0.2,0.4155597722960152,0.0,0.3333333333333333,0.2,0.6603415559772297,0.3396584440227704,89.60474383301707,0.4914611005692599,0.50853889943074,527.0
26,a920073f-154b-4173-a8ff-aed0b2c22711,Angels,SP,Tyler Anderson,L,0.3523622047244094,0.0,0.6666666666666666,0.5,0.5039370078740157,0.0,1.0,0.6,0.6259842519685039,0.374015748031496,85.43562992125985,0.610236220472441,0.389763779527559,508.0
27,f69252fd-0aa5-4043-9875-d0aa4915056a,Angels,SP,Patrick Sandoval,L,0.3314065510597302,1.0,1.0,0.5,0.4277456647398844,2.0,1.3333333333333333,0.7,0.649325626204239,0.350674373795761,87.29421965317918,0.5375722543352601,0.4624277456647399,519.0
28,1cdd5198-b8c8-4c0f-8c96-b0192b00b8b2,Angels,SP,Reid Detmers,L,0.3266129032258064,0.0,0.3333333333333333,0.2,0.4778225806451613,0.0,0.3333333333333333,0.2,0.6754032258064516,0.3245967741935484,88.96895161290323,0.8104838709677419,0.189516129032258,496.0
29,35060d8e-3e99-4c49-b5db-36896605f930,Angels,SP,Chase Silseth,R,0.3089005235602094,1.0,0.6666666666666666,0.4,0.4921465968586387,1.0,1.6666666666666667,1.0,0.6492146596858639,0.3507853403141361,89.4350785340314,0.6282722513089005,0.3717277486910995,191.0
30,470b008b-639b-4f14-975b-1eb51d918358,Angels,SP,Griffin Canning,R,0.3041095890410959,0.0,0.0,0.3,0.4904109589041096,0.0,0.0,0.6,0.6657534246575343,0.3342465753424657,90.4249315068493,0.6301369863013698,0.3698630136986301,365.0
31,942dc231-6052-4410-9bad-e94e465bc914,Angels,RP,Reynaldo López,R,0.3009259259259259,0.0,0.3333333333333333,0.3,0.4444444444444444,0.0,0.3333333333333333,0.3,0.6481481481481481,0.3518518518518518,94.44398148148149,0.9351851851851852,0.0648148148148148,216.0
32,a4d6c32a-74f0-45ff-a397-ca045fcaba2b,Angels,RP,Matthew Moore,L,0.2333333333333333,1.0,0.3333333333333333,0.3,0.36,1.0,0.3333333333333333,0.3,0.66,0.34,88.77666666666667,0.4533333333333333,0.5466666666666666,150.0
33,8968ebe3-c396-47f1-b348-dc7499172867,Angels,RP,Dominic Leone,R,0.3024691358024691,0.0,0.3333333333333333,0.3,0.4814814814814814,0.0,0.3333333333333333,0.3,0.6728395061728395,0.3271604938271605,91.34074074074074,1.0,0.0,162.0
34,454b4642-c1ad-4b8e-8728-0d8bb03051be,Angels,RP,Aaron Loup,L,0.3563218390804598,1.0,0.3333333333333333,0.4,0.5172413793103449,1.0,0.3333333333333333,0.7,0.6724137931034483,0.3275862068965517,86.45459770114942,0.2241379310344827,0.7758620689655172,174.0
35,80ff939b-b430-4b28-b4fc-f3276b098af8,Angels,RP,José Soriano,R,0.3688524590163934,1.0,0.3333333333333333,0.4,0.4590163934426229,1.0,0.3333333333333333,0.5,0.5245901639344263,0.4754098360655737,92.34918032786884,0.3114754098360656,0.6885245901639344,122.0
36,738eb5e8-2ab8-4428-928a-81a31b7228de,Angels,RP,Jaime Barría,R,0.3154362416107382,0.0,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333,1.1,0.6677852348993288,0.3322147651006711,88.04362416107382,0.8187919463087249,0.1812080536912751,298.0
37,320c97b3-d559-498b-9eb9-4c087c8cf9bb,Angels,RP,Jimmy Herget,R,0.3684210526315789,1.0,0.6666666666666666,0.6,0.5921052631578947,1.0,0.6666666666666666,1.0,0.6710526315789473,0.3289473684210526,82.84868421052632,0.3289473684210526,0.6710526315789473,76.0
38,1780396a-30a4-4527-a6cc-59e74dc5c5e4,Angels,RP,Kenneth Rosenberg,L,0.4642857142857143,1.0,0.6666666666666666,0.4,0.5357142857142857,1.0,0.6666666666666666,0.4,0.5357142857142857,0.4642857142857143,86.75714285714285,0.5714285714285714,0.4285714285714285,28.0
39,c967b600-efdf-46ae-bb37-f4940fa29b2a,Athletics,SP,Paul Blackburn,R,0.3391304347826087,0.0,0.3333333333333333,0.2,0.472463768115942,0.0,1.3333333333333333,0.5,0.5942028985507246,0.4057971014492754,86.70463768115941,0.5768115942028985,0.4231884057971014,345.0
40,9879d57f-6e61-4d12-be21-25c2b7328947,Athletics,SP,John Patrick Sears,L,0.3093145869947276,1.0,1.0,0.6,0.5114235500878734,3.0,2.6666666666666665,1.3,0.664323374340949,0.335676625659051,87.66625659050966,0.6151142355008787,0.3848857644991212,569.0
41,5f586661-b5eb-4830-80fe-d2e7a8d78a95,Athletics,SP,Kenneth Waldichuk,L,0.3724279835390947,0.0,0.0,0.3,0.5576131687242798,0.0,0.0,0.9,0.6522633744855967,0.3477366255144033,88.42386831275721,0.5473251028806584,0.4526748971193415,486.0
42,a7c82f82-a77a-44af-b973-771f84226804,Athletics,SP,Kyle Muller,L,0.4141791044776119,1.0,0.3333333333333333,0.4,0.5895522388059702,1.0,0.3333333333333333,0.7,0.7313432835820896,0.2686567164179104,89.18917910447762,0.8395522388059702,0.1604477611940298,268.0
43,30d522ec-b5f3-4836-8f53-4b7ad9b3086a,Athletics,RP,Lucas Erceg,R,0.4,0.0,0.3333333333333333,0.4,0.5166666666666667,0.0,0.3333333333333333,0.5,0.6388888888888888,0.3611111111111111,94.71944444444443,0.3833333333333333,0.6166666666666667,180.0
44,838754e3-6865-4e6f-b2f7-708451c78aa9,Athletics,RP,Kirby Snead,L,0.2222222222222222,0.0,0.0,0.1,0.3333333333333333,0.0,0.0,0.1,0.6666666666666666,0.3333333333333333,86.51111111111112,0.5833333333333334,0.4166666666666667,36.0
45,ddc866dc-fc5a-4e14-aca0-72e557609c5c,Athletics,RP,Francisco Pérez,L,0.391304347826087,0.0,0.0,0.4,0.5217391304347826,0.0,0.0,0.5,0.6521739130434783,0.3478260869565217,88.89565217391304,0.4782608695652174,0.5217391304347826,23.0
46,514a5859-7f3f-4546-8b23-7cd221066240,Athletics,RP,Adrián Martínez,R,0.3380281690140845,1.0,0.3333333333333333,0.4,0.4788732394366197,1.0,0.3333333333333333,0.4,0.6830985915492958,0.3169014084507042,89.44647887323943,0.1197183098591549,0.8802816901408451,142.0
47,169b7765-2519-4f2f-a67f-2e010c0d361e,Athletics,SP,Zachary Neal,R,0.396551724137931,0.0,0.6666666666666666,0.6,0.7068965517241379,0.0,1.0,1.0,0.6206896551724138,0.3793103448275862,84.83448275862068,0.3103448275862069,0.6896551724137931,58.0
48,73ee6ed9-cae7-4d55-a8f0-aa8e837312d8,Athletics,RP,Dany Jiménez,R,0.2702702702702703,0.0,0.0,0.4,0.4324324324324324,0.0,0.0,0.4,0.7567567567567568,0.2432432432432432,85.61351351351351,1.0,0.0,37.0
49,28b6b8aa-761b-4fdf-8708-838ea470c4f5,Athletics,RP,Spencer Patton,R,0.25,1.0,0.3333333333333333,0.2,0.5714285714285714,1.0,0.3333333333333333,0.5,0.8571428571428571,0.1428571428571428,86.75357142857142,0.9642857142857144,0.0357142857142857,28.0
51,2fe6cb9b-c41e-4ee2-9b22-f8b27bf6c5be,Astros,SP,Justin Verlander,R,0.2892057026476578,0.0,0.6666666666666666,0.3,0.4093686354378819,0.0,1.0,0.5,0.6843177189409368,0.3156822810590631,89.25356415478615,0.7780040733197556,0.2219959266802444,491.0
52,00026bf9-dc12-4711-8443-45fbac448ea0,Astros,SP,Framber Valdez,L,0.2882165605095541,1.0,0.6666666666666666,0.5,0.4171974522292994,1.0,1.6666666666666667,0.8,0.7054140127388535,0.2945859872611465,90.03535031847133,0.1353503184713375,0.8646496815286624,628.0
53,00a81b80-a20f-4fb7-894f-23b4d1a63941,Astros,SP,Cristian Javier,R,0.3098330241187384,0.0,0.3333333333333333,0.4,0.4842300556586271,0.0,0.3333333333333333,0.4,0.6419294990723562,0.3580705009276438,88.1773654916512,0.9202226345083488,0.0797773654916512,539.0
54,7ba58155-1133-4f26-be65-9ce443e3fedc,Astros,SP,Hunter Brown,R,0.3308550185873606,0.0,0.6666666666666666,0.5,0.4925650557620817,0.0,1.0,1.0,0.6561338289962825,0.3438661710037174,90.5139405204461,0.6505576208178439,0.3494423791821561,538.0
55,54a4a196-9a19-4af0-954e-f8d337542ecd,Astros,SP,José Urquidy,R,0.3313253012048193,0.0,0.3333333333333333,0.3,0.5060240963855421,0.0,0.3333333333333333,0.3,0.5903614457831325,0.4096385542168674,87.6066265060241,0.2831325301204819,0.7168674698795181,166.0
56,f03fe236-d3b8-4bfd-b08b-963fd5c4391a,Astros,SP,Jonathan France,R,0.2982062780269058,0.0,0.3333333333333333,0.4,0.4170403587443946,0.0,1.3333333333333333,0.7,0.7152466367713004,0.2847533632286995,86.87040358744395,0.7174887892376681,0.2825112107623318,446.0
57,cc22e589-c92a-4fa1-9bfe-45684e91f837,Astros,RP,Hector Neris,R,0.2966507177033493,0.0,0.0,0.4,0.4258373205741627,0.0,0.0,0.8,0.6076555023923444,0.3923444976076555,89.78612440191387,0.4832535885167464,0.5167464114832536,209.0
58,fd2a37d4-32ae-45e2-a0dd-d58e0d9ac869,Astros,RP,Bryan Abreu,R,0.2838983050847458,1.0,0.3333333333333333,0.1,0.3940677966101695,1.0,0.3333333333333333,0.1,0.6016949152542372,0.3983050847457627,91.09110169491524,0.9533898305084746,0.0466101694915254,236.0
59,18be2520-ed71-4e1e-94c8-29b0590e2b5c,Astros,RP,Kendall Graveman,R,0.3013100436681222,0.0,0.6666666666666666,0.3,0.4148471615720524,0.0,1.0,0.4,0.611353711790393,0.388646288209607,92.84497816593888,0.4672489082969432,0.5327510917030568,229.0
60,ef2a7fa6-94d5-4875-b205-c5f2bd30758a,Astros,RP,Ryne Stanek,R,0.3064516129032258,0.0,0.3333333333333333,0.3,0.4301075268817204,0.0,1.3333333333333333,0.6,0.6612903225806451,0.3387096774193548,95.17903225806452,0.8064516129032258,0.1935483870967742,186.0
61,0be3617f-5d44-4609-967b-d16bc9681c96,Astros,RP,Rafael Montero,R,0.3516949152542373,1.0,1.0,0.5,0.5508474576271186,1.0,1.3333333333333333,0.6,0.5805084745762712,0.4194915254237288,93.8572033898305,0.4915254237288136,0.5084745762711864,236.0
62,3a90b7a2-5d39-4165-8ef0-89a9432d517d,Astros,RP,Seth Martinez,R,0.3617021276595745,0.0,0.3333333333333333,0.8,0.5159574468085106,0.0,0.3333333333333333,1.1,0.6382978723404256,0.3617021276595745,86.9191489361702,0.4308510638297872,0.5691489361702128,188.0
63,cef2e01f-1349-4e31-bf1e-757ae8cb6bc6,Blue Jays,SP,Kevin Gausman,R,0.2886247877758913,1.0,0.6666666666666666,0.5,0.4244482173174873,1.0,1.0,0.7,0.6213921901528013,0.3786078098471986,90.7830220713073,0.597623089983022,0.4023769100169779,589.0
64,56da7cb9-5975-46cd-8c63-96fce1245945,Blue Jays,SP,José Berríos,R,0.3018242122719735,1.0,0.6666666666666666,0.2,0.4328358208955223,1.0,0.6666666666666666,0.2,0.6451077943615257,0.3548922056384743,88.40398009950249,0.165837479270315,0.8341625207296849,603.0
65,90fa044f-7148-414c-af09-e0d4eb621775,Blue Jays,SP,Christopher Bassitt,R,0.3050314465408805,1.0,0.3333333333333333,0.2,0.4638364779874214,2.0,0.6666666666666666,0.5,0.6949685534591195,0.3050314465408805,86.1377358490566,0.2720125786163522,0.7279874213836478,636.0
66,7160046b-1575-40ab-bd09-9d11bbac7957,Blue Jays,SP,Yusei Kikuchi,L,0.302536231884058,0.0,0.3333333333333333,0.4,0.463768115942029,0.0,0.3333333333333333,0.4,0.6739130434782609,0.3260869565217391,90.42989130434783,0.730072463768116,0.269927536231884,552.0
67,01d71849-6f8e-4394-ae98-155bd61c68e8,Blue Jays,SP,Hyun Jin Ryu,L,0.2631578947368421,0.0,0.3333333333333333,0.3,0.3552631578947368,0.0,0.3333333333333333,0.3,0.6710526315789473,0.3289473684210526,79.97631578947369,0.4078947368421052,0.5921052631578947,76.0
68,b6064f09-31ae-4d05-832c-2f4c4043c7cb,Blue Jays,RP,Jordan Hicks,R,0.3408071748878923,0.0,0.0,0.1,0.4304932735426009,0.0,0.0,0.4,0.6053811659192825,0.3946188340807174,97.55650224215246,0.2376681614349775,0.7623318385650224,223.0
69,ffa959cf-a28b-4218-a8a7-0987232e535d,Blue Jays,RP,Erik Swanson,R,0.2780269058295964,0.0,0.0,0.2,0.4035874439461883,0.0,0.0,0.2,0.6278026905829597,0.3721973094170404,87.55201793721973,0.3677130044843049,0.6322869955156951,223.0
70,3731cc61-f348-4155-bccc-a46a2a7edbf3,Blue Jays,RP,Yimi García,R,0.3212669683257919,1.0,0.6666666666666666,0.4,0.4434389140271493,1.0,1.0,0.5,0.6787330316742082,0.3212669683257919,91.1180995475113,0.4343891402714932,0.5656108597285068,221.0
71,71948aff-effa-49e9-a040-396bc6b22f31,Blue Jays,RP,Trevor Richards,R,0.2869565217391304,0.0,0.3333333333333333,0.2,0.4391304347826087,0.0,0.3333333333333333,0.2,0.5217391304347826,0.4782608695652174,86.78347826086957,0.3826086956521739,0.6173913043478261,230.0
72,3ebc6d31-8050-43d2-9f0f-b74bb1f2e018,Blue Jays,RP,Timothy Mayza,L,0.2823529411764706,0.0,0.3333333333333333,0.4,0.3411764705882353,0.0,0.3333333333333333,0.4,0.6529411764705882,0.3470588235294117,91.83,0.2529411764705882,0.7470588235294118,170.0
73,f3719f44-d0f6-4d30-9bb3-22a3f315aae7,Blue Jays,RP,Génesis Cabrera,L,0.291005291005291,0.0,0.3333333333333333,0.1,0.4338624338624338,0.0,0.6666666666666666,0.2,0.6084656084656085,0.3915343915343915,92.14444444444445,0.7407407407407407,0.2592592592592592,189.0
74,33d74b50-ee53-42d2-8556-0d77e2c4a148,Blue Jays,RP,Bowden Francis,R,0.22,0.0,0.3333333333333333,0.2,0.4,0.0,0.6666666666666666,0.6,0.71,0.29,87.16,0.69,0.31,100.0
75,eebc991a-23ea-4f1c-ba3b-37ff21ee1603,Yankees,SP,Gerrit Cole,R,0.2763975155279503,0.0,0.3333333333333333,0.3,0.389751552795031,0.0,1.3333333333333333,0.6,0.6754658385093167,0.3245341614906832,93.1580745341615,0.827639751552795,0.1723602484472049,644.0
76,b5fe445d-6ac4-4542-a73c-69afced32a97,Yankees,SP,Carlos Rodón,L,0.3379310344827586,0.0,0.0,0.3,0.5517241379310345,0.0,0.0,0.3,0.7241379310344828,0.2758620689655172,92.26827586206896,0.9586206896551724,0.0413793103448275,145.0
77,98382676-6df3-4b1f-9bc8-8c2f1fd28621,Yankees,SP,Clarke Schmidt,R,0.3246268656716418,0.0,0.6666666666666666,0.3,0.5,0.0,1.0,0.4,0.6716417910447762,0.3283582089552239,89.29701492537313,0.2779850746268656,0.7220149253731343,536.0
78,fa34724d-b540-4705-9d2c-7f50f81865b3,Yankees,SP,Luis Severino,R,0.3927492447129909,1.0,0.6666666666666666,0.3,0.6404833836858006,1.0,1.6666666666666667,0.6,0.6676737160120846,0.3323262839879154,91.72054380664652,0.7915407854984894,0.2084592145015106,331.0
79,d6d28d10-085a-4122-86c0-2886b5ec362a,Yankees,SP,Jhony Brito,R,0.3321299638989169,0.0,0.0,0.4,0.5379061371841155,0.0,0.0,0.4,0.6787003610108303,0.3212996389891697,90.9490974729242,0.0902527075812274,0.9097472924187726,277.0
80,b0b80d42-de4b-4722-b4fa-bbdbb0d5d53e,Yankees,RP,Wandy Peralta,L,0.3177083333333333,1.0,0.6666666666666666,0.4,0.4322916666666667,1.0,0.6666666666666666,0.4,0.53125,0.46875,91.90260416666666,0.1458333333333333,0.8541666666666666,192.0
81,8adff54a-cb4b-4692-b18c-e9aaa9a8e076,Yankees,RP,Michael King,R,0.296028880866426,1.0,0.3333333333333333,0.3,0.4151624548736462,4.0,1.3333333333333333,0.6,0.6245487364620939,0.3754512635379061,89.05992779783394,0.1913357400722021,0.8086642599277978,277.0
82,257b1387-5dfa-4674-a3b7-6eb561ed2f06,Yankees,RP,Thomas Kahnle,R,0.2796610169491525,1.0,0.3333333333333333,0.3,0.3983050847457627,4.0,1.3333333333333333,0.6,0.6101694915254238,0.3898305084745763,90.0457627118644,0.1694915254237288,0.8305084745762712,118.0
83,450c50cd-69aa-4389-a5eb-ca6eaa3a0931,Yankees,RP,Keynan Middleton,R,0.2984293193717277,1.0,0.3333333333333333,0.3,0.4293193717277487,1.0,0.3333333333333333,0.3,0.5863874345549738,0.4136125654450261,89.1151832460733,0.5340314136125655,0.4659685863874345,191.0
84,5d89265b-ae25-4362-807a-7b4d9a67ae55,Yankees,RP,Jonathan Loáisiga,R,0.1212121212121212,0.0,0.0,0.1,0.2121212121212121,0.0,0.0,0.1,0.6666666666666666,0.3333333333333333,95.64848484848486,0.0303030303030303,0.9696969696969696,33.0
85,f4fb7a7f-4ab4-4f1e-8a82-1561d87a7f04,Yankees,RP,Ian Hamilton,R,0.2872340425531915,0.0,0.0,0.1,0.3670212765957447,0.0,0.0,0.1,0.5797872340425532,0.4202127659574468,91.20744680851064,0.7872340425531915,0.2127659574468085,188.0
